Country,first_seq,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Palestine,2020-12-31,2020-12-31,ORF1a.S3675,2021-08-31,0,True,0.0101446334888843,1380.04,14.0,882.3986197377502
Venezuela,2021-01-01,2021-07-03,ORF1a.S3675,2021-09-01,183,True,0.0114799471770473,41607.84946236559,477.6559139784946,911.7154408506872
Sri Lanka,2021-01-02,2021-10-14,ORF1a.S3675,2021-09-02,285,False,0.0253494539928835,36397.20958264276,922.6493897845412,1803.2275403672072
Guinea-Bissau,2021-01-04,2021-02-05,ORF1a.S3675,2021-09-04,32,True,0.0167151162790697,435.960396039604,7.287128712871287,6.634358288770053
North Macedonia,2021-01-04,2021-07-13,ORF1a.S3675,2021-09-04,190,True,0.0352130301688454,21299.54676258993,750.0215827338129,467.724398939102
Ecuador,2021-01-04,2021-11-17,ORF1a.S3675,2021-09-04,317,False,0.0633264662393383,67874.99195627513,4298.2833866144165,1046.331545424132
Kosovo,2021-01-05,2021-07-29,ORF1a.S3675,2021-09-05,205,True,0.020969843719675,1145.9380855397148,24.030142566191447,319.2235714016069
Comoros,2021-01-05,2021-01-10,ORF1a.S3675,2021-09-05,5,True,0.0156521739130434,150.0,2.347826086956522,35.42857142857142
Gambia,2021-01-06,2021-08-14,ORF1a.S3675,2021-09-06,220,True,0.0281390134529147,419.70220369267423,11.810005955926146,17.253962889257004
Grenada,2021-01-06,2021-06-24,ORF1a.S3675,2021-09-06,169,True,0.0062111801242236,23.0,0.1428571428571428,0.1540110282668034
Hungary,2021-01-06,2021-02-26,ORF1a.S3675,2021-09-06,51,True,0.0352949315571756,19464.504145936982,686.9983416252073,1447.277981729702
Thailand,2021-01-08,2021-10-18,ORF1a.S3675,2021-09-08,283,False,0.0102218069675082,148724.65885245902,1520.2347540983606,6036.681828968978
Morocco,2021-01-08,2021-07-22,ORF1a.S3675,2021-09-08,195,True,0.0167624234268825,46521.14008810573,779.8070484581498,447.2499533823684
Iran,2021-01-08,2021-07-19,ORF1a.S3675,2021-09-08,192,True,0.0246213829048576,511524.9009009009,12594.450450450451,12454.43336694087
Vietnam,2021-01-08,2021-05-22,ORF1a.S3675,2021-09-08,134,True,0.008204727485837,11.665423658587114,0.0957116221255438,16.93246512535362
Niger,2021-01-09,2021-04-01,ORF1a.S3675,2021-09-09,82,True,0.0372435769766978,787.6078431372549,29.33333333333333,11.546702489400106
Panama,2021-01-12,2021-04-30,ORF1a.S3675,2021-09-12,108,True,0.0170938295444571,51180.86153846154,874.876923076923,609.2843480678343
Trinidad and Tobago,2021-01-12,2021-10-20,ORF1a.S3675,2021-09-12,281,False,0.0296761437489702,9250.054120111732,274.5059357541899,198.4980839211244
Equatorial Guinea,2021-01-12,2021-08-27,ORF1a.S3675,2021-09-12,227,True,0.0134089174751989,1413.3625377643505,18.951661631419935,19.04264045836848
Latvia,2021-01-12,2021-05-28,ORF1a.S3675,2021-09-12,136,True,0.0177887370675353,13741.926772832448,244.45152216324124,582.1529673119645
Côte d'Ivoire,2021-01-15,2021-05-11,ORF1a.S3675,2021-09-15,116,True,0.0062817313484209,6428.63829787234,40.38297872340426,215.08516537037872
Montenegro,2021-01-17,2021-08-05,ORF1a.S3675,2021-09-17,200,True,0.0158924561863937,6719.574324324324,106.79054054054056,218.17669129599523
Georgia,2021-01-18,2021-08-09,ORF1a.S3675,2021-09-18,203,True,0.0136132702727319,10744.76256281407,146.2713567839196,855.5722844562554
Cabo Verde,2021-01-18,2021-02-03,ORF1a.S3675,2021-09-18,16,True,0.0094976783452933,1160.3265306122448,11.020408163265309,73.76960784313727
Brunei,2021-01-20,2021-01-20,ORF1a.S3675,2021-09-20,0,True,0.0172413793103448,1.6893203883495145,0.029126213592233,882.3986197377502
Croatia,2021-01-20,2021-08-27,ORF1a.S3675,2021-09-20,219,True,0.0223470591237954,36677.66738271776,819.6380015244958,787.3740723418404
Liechtenstein,2021-01-21,2021-06-10,ORF1a.S3675,2021-09-21,140,True,0.0186255619781631,283.09090909090907,5.2727272727272725,4.896540947814547
Kuwait,2021-01-21,2021-07-01,ORF1a.S3675,2021-09-21,161,True,0.0055200537779872,14248.020408163266,78.64983888292159,1258.7473569671492
Congo (Kinshasa),2021-01-22,2021-07-11,ORF1a.S3675,2021-09-22,170,True,0.0222025872810892,5517.375,122.5,103.86361149110807
South Sudan,2021-01-23,2021-05-26,ORF1a.S3675,2021-09-23,123,True,0.0107708157722206,1297.4582278481012,13.974683544303796,60.74662155782848
Honduras,2021-01-26,2021-07-12,ORF1a.S3675,2021-09-26,167,True,0.0265040348829174,101380.40909090907,2686.989898989899,760.9533169502074
Guinea,2021-01-26,2021-07-07,ORF1a.S3675,2021-09-26,162,True,0.0072666527458759,2948.64118895966,21.426751592356688,67.76897434618523
Antigua and Barbuda,2021-01-26,2021-07-25,ORF1a.S3675,2021-09-26,180,True,0.03359375,105.93103448275862,3.5586206896551724,5.263157468682331
Moldova,2021-01-27,2021-06-24,ORF1a.S3675,2021-09-27,148,True,0.0241041862496928,28080.480952380956,676.8571428571429,753.0798766551785
Congo (Brazzaville),2021-01-27,2021-07-28,ORF1a.S3675,2021-09-27,182,True,0.0134539373669808,1487.9686450167974,20.019036954087348,30.57300486398846
Belize,2021-01-29,2021-08-09,ORF1a.S3675,2021-09-29,192,True,0.0234498930960755,1333.2413793103449,31.264367816091955,10.320742748784792
Benin,2021-01-30,2021-07-19,ORF1a.S3675,2021-09-30,170,True,0.0129791363415817,1299.762621789194,16.869796279893713,23.26519067847457
Azerbaijan,2021-02-01,2021-02-07,ORF1a.S3675,2021-10-02,6,True,0.0136618877458317,27738.48,378.96,142.78571428571428
Lithuania,2021-02-02,2021-08-06,ORF1a.S3675,2021-10-03,185,True,0.0155114319674344,29476.31784718592,457.219898937097,626.9565143200816
Bolivia,2021-02-03,2021-06-02,ORF1a.S3675,2021-10-04,119,True,0.0389706582581184,54327.377245508986,2117.1736526946106,1111.7234981595946
Monaco,2021-02-04,2021-04-17,ORF1a.S3675,2021-10-05,72,True,0.0129436325678496,44.8501872659176,0.5805243445692884,11.062384302110331
Costa Rica,2021-02-10,2021-09-24,ORF1a.S3675,2021-10-11,226,True,0.0118749304465618,22175.23020167241,263.3293162813576,1497.6919972341286
Uganda,2021-02-13,2021-06-15,ORF1a.S3675,2021-10-14,122,True,0.0071139628958013,2700.3766741071427,19.210379464285715,101.38567798686977
Paraguay,2021-02-13,2021-08-14,ORF1a.S3675,2021-10-14,182,True,0.0337721670911914,53204.22669491525,1796.822033898305,2012.9972527472528
Bahrain,2021-02-14,2021-07-31,ORF1a.S3675,2021-10-15,167,True,0.0051414263743285,2854.3687261416653,14.675526650643292,1151.7843628043993
Ethiopia,2021-02-17,2021-06-10,ORF1a.S3675,2021-10-18,113,True,0.0154597738948691,6633.321344800625,102.54964816262704,1281.7433304307326
Suriname,2021-02-18,2021-09-14,ORF1a.S3675,2021-10-19,208,True,0.0223171752749949,4890.696579855664,109.14653278945715,126.55658814869338
Ukraine,2021-02-18,2021-07-23,ORF1a.S3675,2021-10-19,155,True,0.0238036217345386,192675.86534372784,4586.383416017009,7006.585675902072
Libya,2021-02-18,2021-06-07,ORF1a.S3675,2021-10-19,109,True,0.0167621280336734,31280.83333333333,524.3333333333334,574.2457227870073
Guatemala,2021-02-19,2021-09-08,ORF1a.S3675,2021-10-20,201,True,0.0250517390343386,45803.88736263736,1147.467032967033,1493.3383028766807
Cambodia,2021-02-19,2021-10-30,ORF1a.S3675,2021-10-20,253,False,0.0234828206405633,12941.775398132891,303.9093904448105,563.4199426245867
Tunisia,2021-02-20,2021-05-28,ORF1a.S3675,2021-10-21,97,True,0.0365928551375631,25329.777777777777,926.8888888888888,1289.1743077737187
Uruguay,2021-02-23,2021-04-15,ORF1a.S3675,2021-10-24,51,True,0.011028824465332,22634.152892561982,249.6280991735537,1959.162853239989
Belarus,2021-02-23,2021-03-22,ORF1a.S3675,2021-10-24,27,True,0.0069550586331351,38928.5,270.75,1114.294471811713
Somalia,2021-02-28,2021-03-05,ORF1a.S3675,2021-10-29,5,True,0.0349044585987261,1349.21875,47.09375,129.94285714285712
Kazakhstan,2021-03-02,2021-08-17,ORF1a.S3675,2021-10-31,168,True,0.0151337188290567,106522.22389181067,1612.0773854244928,2591.410379891602
Sudan,2021-03-04,2021-03-29,ORF1a.S3675,2021-11-02,25,True,0.0645715923201833,4977.71320754717,321.4188679245283,40.352820512820486
Namibia,2021-03-17,2021-06-17,ORF1a.S3675,2021-11-15,92,True,0.0157890232770424,7543.696202531645,119.10759493670886,230.2725075348392
Bahamas,2021-03-18,2021-08-07,ORF1a.S3675,2021-11-16,142,True,0.0191322394448407,1866.188492063492,35.70436507936508,42.55911635313042
Armenia,2021-03-18,2021-07-06,ORF1a.S3675,2021-11-16,110,True,0.0200743593266005,17066.798319327732,342.60504201680675,369.9168216918217
Mali,2021-03-20,2021-08-30,ORF1a.S3675,2021-11-18,163,True,0.0362401667451085,2213.655813953488,80.22325581395349,24.462990219416973
Afghanistan,2021-03-21,2021-05-29,ORF1a.S3675,2021-11-19,69,True,0.0413487184607265,9830.378306878309,406.47354497354496,173.23481760125966
Malta,2021-03-25,2021-07-08,ORF1a.S3675,2021-11-23,105,True,0.0136563160461713,4593.279220779221,62.72727272727273,15.118109680832298
Liberia,2021-03-31,2021-05-20,ORF1a.S3675,2021-11-29,50,True,0.0396825396825396,68.43450479233226,2.7156549520766773,1.7180995475113117
Saudi Arabia,2021-04-06,2021-09-06,ORF1a.S3675,2021-12-05,153,True,0.0157342689406374,39584.386416861824,622.8313817330211,1091.9587767071637
Algeria,2021-04-12,2021-07-28,ORF1a.S3675,2021-12-11,107,True,0.0248966379666249,14533.130434782608,361.82608695652175,371.9316070765096
Nepal,2021-04-14,2021-04-14,ORF1a.S3675,2021-12-13,0,True,0.0108714182210793,421.50299401197606,4.582335329341317,882.3986197377502
Egypt,2021-04-16,2021-05-01,ORF1a.S3675,2021-12-15,15,True,0.0586305253211073,784.6132723112128,46.00228832951945,927.7279411764702
El Salvador,2021-04-29,2021-08-02,ORF1a.S3675,2021-12-28,95,True,0.0302978353790943,16047.668122270745,486.2096069868996,187.08336950623985
Haiti,2021-05-15,2021-08-07,ORF1a.S3675,2022-01-13,84,True,0.0276985142182426,3318.530612244898,91.91836734693878,93.7748876294704
Burundi,2021-05-27,2021-05-31,ORF1a.S3675,2022-01-25,4,True,0.0012526096033402,127.73333333333332,0.16,36.5
Saint Kitts and Nevis,2021-05-31,2021-06-06,ORF1a.S3675,2022-01-29,6,True,0.0,41.5,0.0,2.499999999999999
Andorra,2021-06-07,2021-07-19,ORF1a.S3675,2022-02-05,42,True,0.0088446270631659,1001.7906976744188,8.86046511627907,11.673059498640892
Uzbekistan,2021-06-25,2021-06-25,ORF1a.S3675,2022-02-23,0,True,0.0067015455150484,6040.730964467005,40.48223350253807,882.3986197377502
Guyana,2021-09-06,2021-09-07,ORF1a.S3675,2022-05-07,1,True,0.0244285073957866,856.704,20.928,261.99999999999994
Saint Vincent and the Grenadines,2021-09-20,2021-09-27,ORF1a.S3675,2022-05-21,7,True,0.0053587377195593,497.6296296296296,2.6666666666666665,84.3928571428572
South Africa,2021-11-09,2021-11-25,21K.Omicron,2022-07-10,16,True,0.0304050804403048,5642.156126724997,171.55021088983224,1475.7034313725492
Botswana,2021-11-11,2021-11-23,21K.Omicron,2022-07-12,12,True,0.0124118940468117,875.9801042160113,10.872572240644244,91.3021978021978
Sweden,2021-11-19,2021-11-19,21K.Omicron,2022-07-20,0,True,0.0127109910955763,2.0483317624232567,0.0260363267929483,882.3986197377502
UK,2021-11-20,2021-11-23,21K.Omicron,2022-07-21,3,True,0.0144788421973542,282.32528169080456,4.087743201924747,600412.3999999998
Israel,2021-11-20,2021-11-24,21K.Omicron,2022-07-21,4,True,0.006099306856277,29.390574493496818,0.179262132518107,34.60000000000001
France,2021-11-22,2021-11-22,21K.Omicron,2022-07-23,0,True,0.0158873950419832,195.46161290951173,3.105375859836617,0.0
Italy,2021-11-22,2021-11-28,21K.Omicron,2022-07-23,6,True,0.0266930627271198,75.35936195026522,2.0115721756141607,12861.785714285712
Canada,2021-11-23,2021-11-23,21K.Omicron,2022-07-24,0,True,0.0166815927562712,107.9062765569989,1.8000485613694306,0.0
Belgium,2021-11-24,2021-11-24,21K.Omicron,2022-07-25,0,True,0.0161197088651466,6.409362395883234,0.1033170558328568,882.3986197377502
Brazil,2021-11-25,2021-11-25,21K.Omicron,2022-07-26,0,True,0.0278266273150839,131.46024936318543,3.6580953657773607,882.3986197377502
